Attribute,Requirements (Functional / Non-functional / Business),Component,Class,Functions,Start Date of Code,Last Date Updated Code,End Date of functionality,Update Made,Reason for Update,Team Member(s) Designing / Updating Code,Testing - Ticket_ids raised
,REQ-14,Web Client (Proctor Module),TakeExam - EventMonitor,blockRestrictedInputs() — prevents & logs copy / paste / cut events,"Jan 30, 2026","Feb 10, 2026","Feb 12, 2026",Implemented,Intercepts clipboard events to prevent data exfiltration during the exam.,Atharv Dhuvad,TC-032
,,,,handleContextMenu() — prevents right-click context menu,"Jan 30, 2026","Feb 10, 2026","Feb 12, 2026",Implemented,Disables the browser right-click menu to block Inspect Element access.,Atharv Dhuvad,TC-032
,,,,handleKeyDown() — blocks F12 and Ctrl+Shift+I; logs dev_tools_opened event,"Feb 27, 2026","Mar 1, 2026","Mar 1, 2026",Implemented,Blocks developer tool shortcuts and logs every attempt as a proctoring event.,Atharv Dhuvad,TC-032
,REQ-12,Proctoring Service (Backend),proctoring.js (router),POST /proctoring/face-detection — if facesDetected === 0: pushes face_not_detected event,"Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Deducts 10 trust score points and logs face_not_detected when the student leaves the camera frame.,Shrey Shah,"TC-041, TC-042, TC-043, TC-044"
,REQ-12 (multiple faces),Proctoring Service (Backend),proctoring.js (router),POST /proctoring/face-detection — if facesDetected > 1: pushes multiple_faces event,"Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Applies a 15-point trust score penalty and logs a multiple_faces event to flag possible collaboration.,Shrey Shah,"TC-041, TC-042, TC-043, TC-044"
,REQ-17,Proctoring Service (Backend),proctoringSessionSchema,faceDetectionResults — array of {timestamp / facesDetected / confidence / screenshot},"Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Stores a timestamped visual evidence log for every face detection event for post-exam auditing.,Shrey Shah,TC-018
,,Frontend Services,examService,POST to /proctoring/face-detection via logFaceDetection(),"Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Client-side call that sends real-time face count and screenshot to the backend for trust score calculation.,Shrey Shah,"TC-041, TC-042, TC-043, TC-044"
,REQ-17 (webcam capture),Web Client (Proctor Module),TakeExam - StreamManager,startWebcam() — getUserMedia() + floating <video> element,"Jan 30, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Initialises camera and renders a persistent floating video preview so the proctor can see the student's feed.,Shrey Shah,"TC-047, TC-048, TC-051"
,REQ-16,Proctoring Service (Backend),proctoringSessionSchema,Periodic screenshot timer (every 60 s),"Jan 30, 2026","Feb 10, 2026","Feb 10, 2026",Schema defined,Schema supports scheduled snapshot capture triggered every 60 seconds to ensure continuous coverage.,Shrey Shah,TC-009
,REQ-13 (window blur),Web Client (Proctor Module),TakeExam - EventMonitor,handleBlur() — window.addEventListener(blur + handleBlur),"Jan 30, 2026","Feb 3, 2026","Feb 10, 2026",Implemented,Registers a global blur listener that flags a focus-loss violation whenever the browser window loses focus.,Atharv Dhuvad,TC-032
,Section 4.2 of SRS,,,,,,,,,,,
,REQ-4,Web Client (Teacher Dashboard),ProctorDashboard,fetchDashboardData() — parallel Promise.all() of getDashboardStats() and getActiveSessions(),"Feb 14, 2026","Feb 24, 2026","Feb 26, 2026",Implemented,Replaced sequential API calls with parallel fetching to reduce dashboard load time.,Ridham Shah,TC-028
,,,,fetchActiveSessions() — setInterval every 30 000 ms,"Feb 13, 2026","Feb 24, 2026","Feb 26, 2026",Implemented,Polls the active sessions list every 30 seconds so teachers see live violation data without refreshing.,Ridham Shah,TC-028
,,Proctoring Service (Backend),proctoring.js (router),GET /proctoring/active — returns sessions where status = active,"Feb 15, 2026","Feb 23, 2026","Feb 26, 2026",Implemented,New endpoint returning only active sessions with populated student and exam fields.,Ridham Shah,TC-028
,,,,GET /proctoring/flagged — returns sessions where status = flagged or reviewStatus = pending,"Feb 16, 2026","Feb 25, 2026","Feb 26, 2026",Implemented,New endpoint providing a dedicated view of sessions that need teacher review.,Ridham Shah,TC-028
,,Reporting Service (Backend),reports.js (router),GET /reports/stats/dashboard — role-aware aggregated statistics,"Feb 17, 2026","Feb 26, 2026","Feb 26, 2026",Implemented,Returns computed counts (active/flagged sessions, pending reviews, today's events) in one API call.,Ridham Shah,TC-014
,REQ-5,Web Client (Teacher Dashboard),ProctorDashboard,handleViewSession(session) — maps event log into chronological review interface,"Feb 14, 2026","Feb 24, 2026","Feb 27, 2026",Implemented,Loads and displays full session telemetry with type badge + severity + timestamp + details per event.,Ridham Shah,TC-028
,,,,Screenshots gallery — renders session.screenshots[] with thumbnails + timestamps,"Feb 17, 2026","Feb 18, 2026","Feb 27, 2026",Implemented,Displays a timestamped grid of captured screenshots so reviewers can verify flagged infractions visually.,Ridham Shah,TC-028
,,,,handleReviewSession(status) — updates session to cleared / reviewed / flagged,"Feb 13, 2026","Feb 16, 2026","Feb 27, 2026",Implemented,Allows the reviewer to finalise a session decision and attach notes before saving.,Ridham Shah,TC-028
,,Proctoring Service (Backend),proctoring.js (router),GET /proctoring/:sessionId — returns full session telemetry,"Feb 18, 2026","Feb 24, 2026","Feb 27, 2026",Implemented,Aggregates events, trust score history, face detection results, and screenshots into one response.,Ridham Shah,TC-028
,,,,PUT /proctoring/:sessionId/review — persists reviewer identity + status + notes,"Feb 19, 2026","Feb 24, 2026","Feb 27, 2026",Implemented,Saves the reviewer's name, decision, and professional notes as an audit record in the session document.,Ridham Shah,TC-028
,,,,POST /proctoring/event — broadcasts proctoring_alert when trustScore < 50,"Feb 20, 2026","Feb 24, 2026","Feb 27, 2026",Implemented,Automatically sends a real-time alert notification to proctoring staff when a session's trust score drops below 50%.,Ridham Shah,TC-028
,Section 4.3 of SRS,,,,,,,,,,,
,REQ-6 (question types),Exam Management (ExamService),questionSchema,"type enum: mcq, short_answer, fill_blank, true_false, essay","Jan 16, 2026","Feb 21, 2026",,Partially Implemented,Polymorphic question schema supporting five question formats. Word limits and difficulty levels still pending.,Ridham Shah,TC-006
,REQ-6,Exam Management (ExamService),questionSchema,"question: String (required) / options: [String] / correctAnswer: String (required) / points: Number (default:1) / explanation: String / order: Number","Jan 16, 2026","Jan 29, 2026","Feb 5, 2026",Implemented,Initial MongoDB schema for exam questions with all required and optional fields.,Ridham Shah,"TC-006, TC-007, TC-008"
,,,examSchema,"settings: shuffleQuestions / shuffleOptions / showResultsImmediately / allowBackNavigation / requireWebcam / requireFullscreen / maxAttempts / passingScore / autoSubmitOnTimeUp","Jan 16, 2026","Jan 29, 2026","Jan 28, 2026",Implemented,Exam configuration flags for controlling proctoring requirements and student experience during an exam.,Ridham Shah,"TC-006, TC-007, TC-008"
,,Exam Service (Backend),exams.js (router),"POST /exams — creates exam with title, description, questions[], scheduledAt, duration, endTime, settings; restricted to teacher/admin","Jan 19, 2026","Jan 30, 2026","Jan 31, 2026",Implemented,Role-restricted endpoint for teachers and admins to create exams with questions and scheduling metadata.,Ridham Shah,"TC-045, TC-046, TC-049, TC-050"
,,,,GET /exams — role-based filtered list,"Jan 20, 2026","Jan 30, 2026","Jan 30, 2026",Implemented,Returns exams filtered by role: teachers see their own exams; students see only active public exams.,Ridham Shah,"TC-045, TC-046, TC-049, TC-050"
,,,,GET /exams/:id — hides correctAnswer for student responses,"Jan 20, 2026","Jan 30, 2026","Jan 30, 2026",Implemented,Destructures and strips correctAnswer from the response payload before returning to student clients.,Ridham Shah,"TC-045, TC-046, TC-049, TC-050"
,,,,PUT /exams/:id — teacher/admin update with ownership check,"Jan 20, 2026","Jan 27, 2026","Jan 27, 2026",Implemented,Allows only the original creator or an admin to modify exam fields; rejects all other users.,Ridham Shah,TC-049
,,,,DELETE /exams/:id — restricted to original author,"Jan 21, 2026","Jan 27, 2026","Jan 29, 2026",Implemented,Only the exam creator can delete their exam to prevent unauthorised removal.,Ridham Shah,TC-049
,,Web Client (Exam Module),CreateExam,handleSubmit() — client-side schedule and question validation,"Jan 21, 2026","Jan 27, 2026","Jan 28, 2026",Implemented,Validates that scheduled time is in the future and all questions have a correct answer before sending to API.,Ridham Shah,"TC-049, TC-050"
,,,,addQuestion() / removeQuestion() / updateQuestion() / addOption() / removeOption() / updateOption(),"Jan 18, 2026","Jan 27, 2026","Jan 28, 2026",Implemented,Fine-grained state management functions for dynamically building the question list in the exam editor UI.,Ridham Shah,"TC-049, TC-050"
,,,,fetchExam() — loads exam for editing when :examId URL param is present,"Jan 18, 2026","Jan 27, 2026","Jan 28, 2026",Implemented,Populates the editor form with existing exam data so teachers can edit rather than recreate.,Ridham Shah,"TC-049, TC-050"
,,,,updateSetting(key / value) — toggles webcam / fullscreen / shuffle / passing score / maxAttempts / auto-submit,"Jan 18, 2026","Jan 25, 2026","Jan 27, 2026",Implemented,Maps UI checkboxes/inputs directly to the exam settings object.,Ridham Shah,"TC-049, TC-050"
,,Frontend Services,examService,"createExam() / getExams() / getExam() / updateExam() / deleteExam() — axios wrappers to /exams endpoints","Jan 20, 2026","Jan 29, 2026","Jan 29, 2026",Implemented,Centralised HTTP service layer for all exam CRUD calls.,Ridham Shah,"TC-045, TC-046, TC-049, TC-050"
,,Exam Management (ExamService),examSchema,virtual(totalPoints) — sums questions[].points,"Jan 20, 2026","Jan 29, 2026","Jan 29, 2026",Implemented,Derived Mongoose virtual that dynamically totals question point values without storing the sum.,Ridham Shah,"TC-006, TC-007"
,,,,pre(save) hook — updates updatedAt timestamp,"Jan 20, 2026","Jan 29, 2026","Jan 29, 2026",Implemented,Sets updatedAt to now on every save to maintain an accurate audit trail.,Ridham Shah,TC-006
,,,,Access control: allowedStudents: [ObjectId] / isPublic: Boolean / accessCode: String,"Jan 23, 2026","Jan 29, 2026","Jan 28, 2026",Schema defined,Schema supports three enrollment strategies: whitelist / public flag / access code.,Ridham Shah,TC-006
,REQ-7,Exam Service (Exam Module),Exam,Correct Answer input — MCQ uses <select> from options; other types use <input type=text>,"Jan 18, 2026","Jan 26, 2026","Jan 27, 2026",Implemented,Enforces that every question has a correct answer at creation time. Foundation for server-side grading.,Atharv Dhuvad,"TC-019, TC-025"
,REQ-11 (question constraints),Exam Management (ExamService),questionSchema / examSchema,points: Number (default:1),"Jan 18, 2026","Jan 23, 2026",,Partially Implemented,Marks allocation implemented. Word limits and difficulty levels are still pending.,Atharv Dhuvad,TC-006
,Section 4.4 of SRS,,,,,,,,,,,
,REQ-8 (current implementation),Submission Service (Backend),submissions.js (router),POST /submissions — case-insensitive trimmed string match grading + score calculation,"Feb 27, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Grades student answers using case-insensitive whitespace-trimmed comparison and sums points for correct answers.,Shrey Shah,"TC-022, TC-023, TC-024, TC-025, TC-026"
,,Web Client (Exam Module),ExamSubmissions,Answer comparison: isCorrect = answer.toLowerCase().trim() === correctAnswer.toLowerCase().trim(),"Feb 27, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,UI marks each answer correct or incorrect in real time by comparing against the stored answer key.,Shrey Shah,"TC-019, TC-025"
,REQ-9 (current implementation),Submission Service (Backend),submissionSchema,pre(save) hook — percentage = Math.round((score / maxScore) * 100) with null guard,"Feb 28, 2026","Mar 1, 2026",,Partially Implemented,Calculates and stores percentage automatically on every save. Null guard prevents NaN when maxScore is undefined.,Shrey Shah,"TC-022, TC-023, TC-024, TC-025, TC-026"
,REQ-10 (teacher override),Submission Service (Backend),submissions.js (router),"PUT /submissions/:id/review — teacher sets score / reviewNotes / isFlagged / flagReason","Mar 1, 2026","Mar 1, 2026",,Partially Implemented,Backend endpoint allowing teachers to override the automated score and flag suspicious submissions.,Pranav Nair,TC-027
,,Web Client (Exam Module),ExamSubmissions,handleReviewSubmission(isFlagged) — teacher approve or flag workflow,"Feb 28, 2026","Mar 1, 2026",,Partially Implemented,UI flow that lets the teacher approve or flag a submission and add optional reviewer notes.,Pranav Nair,TC-027
,,Submission Service (Backend),submissionSchema,"reviewedBy: ObjectId (ref: User) / reviewedAt: Date / reviewNotes: String","Feb 28, 2026","Mar 2, 2026",,Partially Implemented,Schema fields that store the reviewer's identity and feedback for audit purposes.,Pranav Nair,TC-027
,,Notification Service (Backend),submissions.js (router),After review: creates exam_graded notification to student,"Feb 28, 2026","Mar 2, 2026",,Partially Implemented,Sends an in-app notification to the student when their submission has been reviewed and graded.,Pranav Nair,"TC-013, TC-030"
,6.1 — Performance Requirements,,,,,,,,,,,
,PR-2 (Dashboard Latency),Proctoring Service (Backend) > Web Client (Teacher Dashboard),proctoring.js,POST /proctoring/event → logProctoringEvent() → fetchDashboardData() / fetchActiveSessions() (30 s polling),"Feb 14, 2026","Mar 2, 2026",,Partially Implemented,Event pipeline that flows from event logging to dashboard refresh within the 30-second polling window.,Atharv Dhuvad,TC-028
,PR-3 (Concurrency),Backend Config,server.js — Express/Node.js,Standard Node.js event loop; MongoDB via Mongoose connectDB(),"Feb 28, 2026","Mar 2, 2026","Mar 2, 2026",Implemented,Single-threaded async event loop with Mongoose connection pooling handles concurrent student sessions.,Atharv Dhuvad,TC-029
,PR-4 (Bandwidth),Web Client (Proctor Module),TakeExam - StreamManager,captureAndUploadScreenshot() — JPEG quality 0.5 at 320×240 every 60 s,"Feb 4, 2026",,,Partially Implemented,Limits screenshot payload size to ~20 KB per capture to stay within bandwidth constraints.,Atharv Dhuvad,TC-047
,6.2 — Safety Requirements,,,,,,,,,,,
,SR-1 (Auto-Save),Web Client (Exam Module) + Submission Service (Backend),TakeExam + submissions.js,"performAutoSave() — setInterval 30 000 ms sending answers[] / tabSwitchCount / fullscreenExitCount. Server: POST /submissions/auto-save — updates submission, increments autoSaveCount, sets lastAutoSave","Feb 28, 2026","Mar 2, 2026",,Partially Implemented,Saves student progress every 30 seconds so work is not lost on disconnection or crash.,Shrey Shah,"TC-022, TC-023, TC-024, TC-025, TC-026"
,SR-1 (Resume support),Submission Service (Backend),submissions.js (router),POST /submissions/start — returns existing in_progress submission if one exists,"Feb 28, 2026","Mar 1, 2026","Mar 1, 2026",Implemented,Allows a student to resume an interrupted exam session without losing previous answers.,Shrey Shah,"TC-022, TC-023, TC-024, TC-025, TC-026"
,SR-2 (Graceful Degradation),Web Client (Proctor Module),TakeExam - StreamManager,startWebcam() — on failure logs webcam_disabled high-severity event but does NOT terminate the exam,"Feb 20, 2026","Mar 2, 2026","Mar 2, 2026",Implemented,Camera failure is logged as a high-severity proctoring event but the exam continues so students are not unfairly locked out.,Shrey Shah,"TC-047, TC-048, TC-051"
,6.3 — Security Requirements,,,,,,,,,,,
,SEC-1 (Password Hashing),Auth Service (Firebase),Firebase Auth SDK,Passwords managed entirely by Firebase — hashed internally using scrypt-based algorithm,"Jan 21, 2026","Jan 28, 2026","Jan 29, 2026",Implemented,All password hashing is delegated to Firebase; no passwords are stored in MongoDB.,Pranav Nair,TC-032
,SEC-2 (Access Control / RBAC),All Backend Routes + Web Client (Routing),"exams.js, submissions.js, admin.js, App.jsx","Backend: POST /exams → 403 if not teacher/admin. PUT /submissions/:id/review → 403 if not teacher/admin. POST /submissions/start → 403 if not student. Frontend: RoleRoute wraps /create-exam (teacher/admin) and /take-exam (student).","Jan 21, 2026","Jan 29, 2026","Jan 29, 2026",Implemented,End-to-end RBAC enforced on both backend routes and frontend navigation guards.,Pranav Nair,"TC-032, TC-033, TC-034, TC-045, TC-046, TC-049, TC-050, TC-022, TC-023, TC-024, TC-025, TC-026"
,SEC-2 (Admin-only access),Admin Middleware (Backend),admin.js,requireAdmin middleware — returns 403 if user.role !== admin — applied to all /admin/* routes,"Jan 21, 2026","Jan 27, 2026","Jan 27, 2026",Implemented,Dedicated middleware ensuring all admin routes are inaccessible to non-admin users.,Pranav Nair,"TC-032, TC-033, TC-034"
,SEC-2 (Answer hiding),Exam Service (Backend),exams.js (router),GET /exams/:id — destructures out correctAnswer before returning to students,"Jan 20, 2026","Jan 28, 2026","Jan 28, 2026",Implemented,Strips correctAnswer from the API response payload for student requests to prevent answer leakage.,Pranav Nair,"TC-045, TC-046, TC-049, TC-050"
,SEC-3 (Data Integrity / TLS),Infrastructure / Deployment,N/A,"Axios over HTTP (http://localhost:5000/api). HTTPS/TLS configured at reverse proxy level (nginx, Cloudflare, or Vercel).","Feb 3, 2026","Feb 11, 2026","Feb 12, 2026",Deployment Dependent,TLS is handled at the infrastructure level and not inside the application code.,Pranav Nair,
,SEC-5 (Rate Limiting),Rate Limiting Middleware (Backend),rateLimiter.js,"Tier 1 — apiLimiter: 15 min window / 100 req max — global. Tier 2 — authLimiter: 15 min window / 5 req max — on POST /auth/register. Tier 3 — submissionLimiter: 1 hour window / 10 req max — on POST /submissions.","Jan 21, 2026","Jan 29, 2026",,Partially Implemented,Three-tier rate limiting protects API endpoints from brute-force and submission-flooding attacks.,Pranav Nair,"TC-022, TC-023, TC-024, TC-025, TC-026, TC-035"
,REQ-18,Web Client (Proctor Module),CalibrationScreen,calculateLightingLevel(),"Feb 25, 2026","Mar 18, 2026","Mar 18, 2026",Implemented,Averages R+G+B pixel values from canvas ImageData to measure ambient lighting level in real time.,Ridham Shah,"TC-036, TC-037"
,REQ-18,Web Client (Proctor Module),CalibrationScreen,calculateFaceDistance(),"Feb 25, 2026","Mar 18, 2026","Mar 18, 2026",Implemented,Computes Math.sqrt(boundingBox.width * boundingBox.height) as a proxy for face distance from the camera.,Shrey Shah,"TC-038, TC-039"
,REQ-18,Web Client (Proctor Module),CalibrationScreen,buildCalibrationThresholds(),"Feb 25, 2026","Mar 18, 2026","Mar 18, 2026",Implemented,Generates acceptable distance bounds (baseline ± 20%) and lighting bounds (baseline ± 30) from calibration baseline.,Pranav Nair,TC-040
,6.4 — Security Requirements (continued),,,,,,,,,,,
,REQ-19 (Login failure tracking),Auth Service (Backend),auth.js + User model,"POST /auth/login-failure — increments failedLoginAttempts; locks account (accountLockedUntil = now + 15 min) after 5 failures; alerts admins via Notification if ≥ 10 failures in 1 hour","Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Records every failed login attempt and locks the account for 15 minutes after 5 consecutive failures to block brute-force attacks.,Pranav Nair,TC-029
,REQ-19 (Login success reset),Auth Service (Backend),auth.js + User model,"POST /auth/login-success — resets failedLoginAttempts to 0, clears accountLockedUntil, records LoginAttempt with success=true","Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Resets all failure counters on successful login so the user is not incorrectly locked after a genuine login.,Pranav Nair,TC-029
,REQ-19 (Login lock status),Auth Service (Backend),auth.js,POST /auth/login-status — returns locked status + remainingMs for an email address,"Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Allows the frontend to check lock status before attempting login and display a countdown to the user.,Pranav Nair,TC-029
,REQ-18 (Registration lock status),Auth Service (Backend),auth.js,POST /auth/check-registration — returns attempt count and lock status for an email address,"Feb 28, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Allows the frontend to show remaining registration attempts before the 24-hour window locks the email.,Pranav Nair,TC-016
,SEC-4 (Two-Factor Authentication),Auth Service (Backend),auth.js,"POST /auth/2fa/enable — generates 40-char hex TOTP secret via crypto.randomBytes(20). POST /auth/2fa/verify — activates 2FA after correct code. POST /auth/2fa/validate — validates code during login. POST /auth/2fa/disable — disables 2FA after re-verification. GET /auth/2fa/status — returns enabled flag","Jan 21, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Full 2FA lifecycle using HMAC-SHA1 TOTP codes. Frontend uses examService 2FA wrapper calls.,Pranav Nair,"TC-017, TC-018"
,SEC-4 (2FA frontend),Frontend Services,examService,"enable2FA() / verify2FA() / validate2FA() / disable2FA() / get2FAStatus() — axios wrappers to /auth/2fa/* endpoints","Jan 21, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Centralised service functions for all 2FA operations from the frontend.,Pranav Nair,"TC-017, TC-018"
,User Profile Management,Auth Service (Backend),auth.js,PUT /auth/profile — updates name / profileImage / referenceImage for the authenticated user,"Jan 21, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Lets users update their display name and upload a profile or proctoring reference image.,Pranav Nair,TC-001
,Notification CRUD,Notification Service (Backend),notifications.js,"GET /notifications — paginated list with unreadOnly filter. PUT /:id/read — marks one as read. PUT /read-all — marks all as read. DELETE /:id — deletes one notification. POST / — creates notification (teacher/admin/proctor). POST /broadcast — sends to multiple users by role or user ID list (admin only).","Feb 28, 2026","Mar 2, 2026","Mar 2, 2026",Implemented,Complete notification management endpoints used to surface proctoring alerts and exam events to users.,Pranav Nair,"TC-013, TC-030"
,Admin User Management,Admin Service (Backend),admin.js,"GET /admin/users — paginated with role/search/isActive filters. GET /admin/users/:id — user + stats. PUT /admin/users/:id — update role/isActive/name + notifies user. DELETE /admin/users/:id — cascades to submissions/exams/notifications/sessions.","Jan 21, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Full admin user management including cascading delete and role-change notifications.,Pranav Nair,"TC-001, TC-002, TC-003, TC-004, TC-005"
,Admin Exam Management,Admin Service (Backend),admin.js,"GET /admin/exams — paginated with isActive/search filters. DELETE /admin/exams/:id — cascades to submissions and proctoring sessions.","Jan 21, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Allows admins to view and remove any exam along with all related data.,Pranav Nair,"TC-045, TC-046, TC-049, TC-050"
,Admin System Health,Admin Service (Backend),admin.js,"GET /admin/settings — returns system config (registration on/off, default role, session timeout, proctoring defaults). GET /admin/health — returns DB status, uptime, memory, and entity counts.","Jan 21, 2026","Mar 1, 2026","Mar 2, 2026",Implemented,Operational endpoints giving admins visibility into live system state and configuration.,Pranav Nair,TC-027
,Report Generation (5 types),Reporting Service (Backend),reports.js,"POST /reports/generate — type: exam_analytics / student_performance / proctoring_summary / system_usage / flagged_submissions. Each aggregates data between startDate and endDate and saves a Report document.","Feb 17, 2026","Mar 2, 2026","Mar 2, 2026",Implemented,Five report types covering all major system dimensions. Persisted as Report documents for later retrieval.,Ridham Shah,"TC-014, TC-031"
,Report CRUD,Reporting Service (Backend),reports.js,"GET /reports — list all reports (admin sees all; teacher sees own). GET /reports/:id — single report. DELETE /reports/:id — teachers can only delete their own.","Feb 17, 2026","Mar 2, 2026","Mar 2, 2026",Implemented,Standard CRUD for saved reports with ownership-based access control.,Ridham Shah,TC-014
,Student Submissions Page,Web Client (Exam Module),MySubmissions.jsx,getMySubmissions() via GET /submissions/my-submissions — displays student's own submission history,"Feb 27, 2026","Mar 1, 2026","Mar 1, 2026",Implemented,Role-guarded student view listing their own exam submissions with score and status.,Shrey Shah,"TC-022, TC-025, TC-026"
