Test cases,Team Member(s) Testing Code,Complete / Ongoing / Abandoned,Ticket_ids raised,Date of Ticket Generation,Date of Ticket Resolution,module tested,result(success/failure),description of result,Risk Management,Test Type
should return 0 for null canvas (lighting null guard),Ridham Shah,Complete,TC-036,2026-03-18,2026-03-18,Camera Calibration,Success,Function correctly returns 0 for null input without throwing,,Unit
should return correct average pixel brightness for solid-color canvas,Atharv Dhuvad,Complete,TC-037,2026-03-18,2026-03-18,Camera Calibration,Success,"White canvas returns ~255, black canvas returns ~0",,Unit
should return 0 for null detection (face distance null guard),Shrey Shah,Complete,TC-038,2026-03-18,2026-03-18,Camera Calibration,Success,Function correctly returns 0 for null detection without throwing,,Unit
should compute sqrt of bounding-box area for a valid detection,Pranav Nair,Complete,TC-039,2026-03-18,2026-03-18,Camera Calibration,Success,Correct distance values returned for 100×100 (→100) and 80×60 (→~69.28) bounding boxes,,Unit
should build calibration thresholds as ±20% distance and ±30 lighting,Ridham Shah,Complete,TC-040,2026-03-18,2026-03-18,Camera Calibration,Success,Thresholds calculated correctly (80/120 distance bounds; 120/180 lighting bounds); 0 detection rate returned for 0 frames,,Unit
face_not_detected event should deduct 10 trust score points,Atharv Dhuvad,Complete,TC-041,2026-03-18,2026-03-18,Face Detection,Success,Event classified as high; trust score correctly reduced from 100 to 90,,Unit
trust score should never drop below 0 even with large penalty,Shrey Shah,Complete,TC-042,2026-03-18,2026-03-18,Face Detection,Success,Trust score clamped to 0 for inputs 5 and 0 with high penalty penalty,,Unit
face_not_detected event should increment highSeverityEvents count,Pranav Nair,Complete,TC-043,2026-03-18,2026-03-18,Face Detection,Success,Summary correctly reports 3 total events and 2 high-severity events,,Unit
multiple_faces_detected event should be classified as medium severity,Ridham Shah,Ongoing,TC-044,2026-03-18,2026-03-18,Face Detection,Success,getEventSeverity returns medium for multiple_faces_detected,,Unit
should return 404 if exam not found,Shrey Shah,Complete,TC-045,2026-03-18,2026-03-18,Exam Route Component,Success,Returned 404 matching mock parameters,,Component
should return exam data if found,Atharv Dhuvad,Ongoing,TC-046,2026-03-18,2026-03-18,Exam Route Component,Success,Returned 200 and sent correct title payload,,Component
should initially render loading overlay for camera,Ridham Shah,Ongoing,TC-047,2026-03-18,2026-03-18,CameraFeed Component,Success,The structural text exists when initializing render,,Component
should render a video element even before stream resolution,Pranav Nair,Complete,TC-048,2026-03-18,2026-03-18,CameraFeed Component,Success,Structural <video> element exists early matching test expectations,,Component
should return 201 when a teacher creates an exam,Ridham Shah,Complete,TC-049,2026-03-18,2026-03-18,Exam Route Component,Success,Returned 201 successfully mapping route,,Component
should return 403 if user is not a teacher or admin,Pranav Nair,Complete,TC-050,2026-03-18,2026-03-18,Exam Route Component,Success,Returned 403 Forbidden payload securely,,Component
should clean up video streams strictly on component unmount,Shrey Shah,Ongoing,TC-051,2026-03-18,2026-03-18,CameraFeed Component,Success,Stream clean execution asserted safely,,Component
